bag_id,time_of_capture,body_temperature_c,microhabitat_type,microhabitat_temperature_c,bag_photo,processor,visit_comment,species_capture,capture_type,capture_mark_recapture,life_stage,sex,snout_vent_length,body_and_bag_mass,bag_mass,body_mass,bd_swab_tube_id,dry_swab_tube_id,crispr_swab_tube_id,bacterial_swab_tube_id,mucusome_id,amp_id_1,amp_id_2,amp_id_3,amp_id_4,antibody_id_1,antibody_id_2,antibody_id_3,antibody_id_4,toe_clip_tube_id,capture_comments,survey_time,region,location,detection_type,site,date,temp_ves_id
bag30,13:36:00,NA,leaf litter,19.8,122ae19b-a0c0-4164-a388-9c642fca36df,brandon hoenig,NA,bufo americanus,new,NA,unknown,unknown,31.8,6.5,3.25,3.25,2022-05-20 admin Buam#3,NA,NA,2022-05-20 admin Buam#3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,pa,usa,capture,admin pond,2022-05-20T00:00:00Z,1
bag17,13:41:00,NA,leaf litter,20,facd53f6-f05b-4973-b32d-12b2f55431dc,brandon hoenig,NA,pseudacris crucifer,new,884e45e1-bee9-4794-9894-0b32ddd3b264,adult,unknown,26.2,3.9,2.9,1,2022-05-20-admin-pscr1,NA,NA,2022-05-20-admin-pscr1,2022-05-20-admin-pscr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,pa,usa,capture,admin pond,2022-05-20T00:00:00Z,2
bag29,13:53:00,NA,leaf litter,18.9,1cb017ee-65aa-48c3-bec8-34f1c6816ee4,brandon hoenig,NA,bufo americanus,new,NA,adult,unknown,50.3,18.75,4.25,14.5,2022-05-20 admin buam#2,NA,NA,2022-05-20 admin buam#2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,pa,usa,capture,admin pond,2022-05-20T00:00:00Z,3
bag07,21:17:00,18.2,water,18.2,749377f6-be1b-41b1-855f-17048f501de4,brandon hoenig,NA,rana catesbeiana,new,faf211aa-8c29-4516-b4a2-b4c430a26029,juvenile,unknown,53,16.25,4.5,11.75,2022-05-18-admin-raca10,NA,NA,2022-05-18-admin-raca10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,7
bag10,21:21:00,18.2,water,18.3,aa20fbe1-d1d2-4a84-a8cb-921132a752d0,brandon hoenig,NA,rana catesbeiana,new,0ece465b-c22f-44ad-a2b3-60b66810106f,juvenile,unknown,56.5,18.25,3.5,14.75,2022-05-19 admin raca#15,NA,NA,2022-05-19 admin raca#15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,8
bag09,21:32:00,17.8,water,18,f955b55c-6c9f-4eb5-a39d-01cd8d077064,brandon hoenig,NA,rana pipiens,new,c66d5bf6-5dd6-484d-9579-057a979982d0,adult,female,49.5,12.5,4,8.5,2022-08-15-admin-rapi3,NA,NA,2022-08-15-admin-rapi3,2022-08-15-admin-rapi3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,11
bag15,21:37:00,17.6,water,17.8,462bb5df-49ec-4f8f-b71b-018ae889990f,brandon hoenig,NA,rana pipiens,new,c41fcf0a-adbf-4d4e-b604-d5887b7f0c77,adult,female,57,19.5,4.5,15,2022-05-19-admin-rapi1,NA,NA,2022-05-19-admin-rapi1,2022-05-19-admin-rapi1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,12
bag24,21:52:00,18.2,water,18.3,38e098c0-83bc-42ea-a36e-bc6ca0483635,brandon hoenig,NA,rana catesbeiana,new,872ccfa8-29df-44e6-b4a4-49f6bd83a3f6,juvenile,unknown,58.8,18.75,4.25,14.5,2022-05-19 admin raca#17,NA,NA,2022-05-19 admin raca#17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,15
bag03,22:31:00,18.1,water,18.5,9cde3f6c-e658-4ff4-be0e-7656848fa7f3,brandon hoenig,NA,rana catesbeiana,new,cd015c34-b17f-45de-bebc-972aff09cf68,adult,female,66.1,36,4.3,31.7,2022-05-19 admin raca#11,NA,NA,2022-05-19 admin raca#11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,20
bag11,22:34:00,18.1,water,18.4,7cd806d3-a84e-4eb5-9e9b-7ae234daed04,brandon hoenig,NA,rana catesbeiana,new,9223dad1-06dd-4544-8f6c-c1097c404dcd,juvenile,unknown,57.3,23.5,7,16.5,2022-05-19 admin raca#12,NA,NA,2022-05-19 admin raca#12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,21
bag20,22:37:00,18,water,18.1,e739fd67-a95e-484a-80ff-d624c0ba94de,brandon hoenig,NA,rana catesbeiana,new,2ba9fae2-7489-4889-949d-7169c7bb974e,juvenile,unknown,58.6,22.75,4.2,18.55,2022-05-19 admin raca #16,NA,NA,2022-05-19 admin raca #16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,22
bag14,22:41:00,17.7,emergent vegetation (lower than 1m),17.7,ba71afdd-85ad-4528-92da-f812c671fe68,brandon hoenig,NA,rana catesbeiana,new,ecf4f86d-c80d-4dca-8844-8415f8720a60,juvenile,unknown,52,18,3.5,14.5,2022-05-18-admin-raca7,NA,NA,2022-05-18-admin-raca7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,23
bag30,21:08:00,18.2,emergent vegetation (lower than 1m),18.4,f2f3dd03-71a2-448e-91bb-8c42ec59c4c1,brandon hoenig,NA,pseudacris crucifer,new,1a7147a3-ba34-4098-b308-aba3ae980dbf,adult,male,27.1,3.9,2.9,1,2022-05-19-admin-pscr6,NA,NA,2022-05-19-admin-pscr6,2022-05-19-admin-pscr6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,24
bag29,21:11:00,18.2,emergent vegetation (lower than 1m),18.2,e22e0c34-ac7c-4027-a950-4ad84d8a217d,brandon hoenig,NA,pseudacris crucifer,new,93e1c849-e5cf-4f64-b376-5c6879db98e0,adult,male,26.6,3.9,2.9,1,2022-05-19-admin-pscr5,NA,NA,2022-05-19-admin-pscr5,2022-05-19-admin-pscr5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,25
bag16,21:18:00,18.2,tree/log/bush (lower than 1m),18.2,16553888-75b0-452d-bf38-885f34809111,brandon hoenig,NA,pseudacris crucifer,new,b524ad08-f189-4809-ad1c-4a185c022236,adult,male,25.8,3.8,2.8,1,2022-05-19-admin-pscr4,NA,NA,2022-05-19-admin-pscr4,2022-05-19-admin-pscr4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,26
bag27,21:43:00,20.1,water,20.4,1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35,brandon hoenig,NA,rana catesbeiana,new,ce63171b-8e98-40fe-a62f-9561391bb8a4,adult,female,71,35,3.5,31.5,2022-05-19-admin-raca8,NA,NA,2022-05-19-admin-raca8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,28
bag06,21:47:00,18.6,wet ground,18.8,2d6d1f37-af35-430b-bc14-0ce262d44f04,brandon hoenig,NA,rana pipiens,new,4bf16a1b-53e3-4bd9-a7f3-5ce95b789758,adult,female,66.5,26,3.5,22.5,2022-08-19-admin-rapi2,NA,NA,2022-08-19-admin-rapi2,2022-08-19-admin-rapi2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,29
bag18,22:20:00,19.4,water,19.6,c30e398e-e9e5-48ee-a3c9-df9117df7392,brandon hoenig,NA,rana catesbeiana,new,43d7f751-26b8-4ff2-9d67-0ca3ed089e4b,juvenile,unknown,55.9,19,3.4,15.6,2022-05-19-admin-raca9,NA,NA,2022-05-19-admin-raca9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,30
bag19,22:40:00,19.4,water,19.7,6daf3070-03b7-4593-af5e-07f9f6bb00de,brandon hoenig,NA,rana catesbeiana,new,77e70f11-73df-48ae-a528-7f6aa000eac9,juvenile,unknown,52.8,15,3.75,11.25,2022-05-19 admin #13,NA,NA,2022-05-19 admin #13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,31
bag17,22:57:00,18.4,water,18.6,8987abb6-ea9b-4d42-b33c-60e76136dfc6,brandon hoenig,NA,rana catesbeiana,new,2eb1d0b4-9396-4257-9b86-6ec4556a6c3e,juvenile,unknown,57.2,18.5,4,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,32
bag05,13:30:00,NA,dry ground,21.7,128284c5-81c5-40ed-9a12-ace05ca82699,brandon hoenig,NA,bufo americanus,new,NA,unknown,unknown,32.4,6.75,3,3.75,2022-05-20 admin buam#6,NA,NA,2022-05-20 admin buam#6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,pa,usa,capture,admin pond,2022-05-20T00:00:00Z,33
bag01,14:15:00,23.4,dry ground,24,dfd0b36e-2b5f-488a-943b-e34f4d3a4cd5,brandon hoenig,NA,bufo americanus,new,NA,unknown,unknown,35.6,6.75,3,3.75,2022-05-20 admin buam#5,NA,NA,2022-05-20 admin buam#5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,pa,usa,capture,admin pond,2022-05-20T00:00:00Z,34
