bag_id_recap,time_of_capture_recap,body_temperature_c_recap,microhabitat_type_recap,microhabitat_temperature_c_recap,bag_photo_recap,processor_recap,visit_comment_recap,species_capture_recap,capture_type_recap,capture_mark_recapture_recap,life_stage_recap,sex_recap,snout_vent_length_recap,body_and_bag_mass_recap,bag_mass_recap,body_mass_recap,bd_swab_tube_id_recap,dry_swab_tube_id_recap,crispr_swab_tube_id_recap,bacterial_swab_tube_id_recap,mucusome_id_recap,amp_id_1_recap,amp_id_2_recap,amp_id_3_recap,amp_id_4_recap,antibody_id_1_recap,antibody_id_2_recap,antibody_id_3_recap,antibody_id_4_recap,toe_clip_tube_id_recap,capture_comments_recap,survey_time_recap,region_recap,location.x_recap,detection_type_recap,site_recap,date_recap,cmr_id_recap
bag02,21:03:00,19.2,water,18.8,fc60daf4-a867-4dae-ae86-cc5243476639,brandon hoenig,NA,rana catesbeiana,recapture,63928a8b-bc3f-43eb-912a-c0eaf88444d2,,NA,51.9,NA,NA,NA,2022-05-19 admin raca#24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,B1B2
bag01,21:09:00,18.3,tree/log/bush (lower than 1m),17.5,67a45464-e3d2-4e15-b70e-716dda775401,brandon hoenig,NA,rana pipiens,recapture,0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342,,NA,73.5,NA,NA,NA,2022-05-19 admin rapi#27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A2
bag04,21:12:00,18,water,17.9,68778835-4137-4a3a-8300-3fdcfbca25a7,brandon hoenig,NA,rana catesbeiana,recapture,c1dcc31c-87eb-4537-9470-356e318b9b19,,NA,40.5,NA,NA,NA,2022-05-19 admin raca#19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A2
bag08,21:25:00,18.1,water,18,c01ce459-70f0-42ce-8202-034604010ce0,brandon hoenig,NA,rana pipiens,recapture,28fa1e78-cc91-4a23-8705-340e7a38a0dd,,NA,55.3,NA,NA,NA,2022-05-19 admin rapi#29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A4
bag05,21:28:00,18.3,water,18.3,3d702528-f451-4c1d-88e5-2f8c87a918ac,brandon hoenig,NA,rana catesbeiana,recapture,2765fa30-d94c-4fcb-9343-55b9133d6ebc,,NA,48.2,NA,NA,NA,2022-05-19 admin raca#26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A4
bag22,21:45:00,17.7,water,17.8,f138bbc6-2cc3-42e1-93c4-b6cd184421e4,brandon hoenig,NA,rana catesbeiana,recapture,8587650d-e715-469e-bec9-3c1727c51ca1,,NA,54.2,NA,NA,NA,NA,NA,NA,2022-05-19 admin raca#23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A3B2
bag23,21:48:00,17.9,water,18.1,9bd35ea5-5f93-434e-95d3-fedb4b2de9af,brandon hoenig,NA,rana catesbeiana,recapture,71643ec1-cc76-4ccd-b969-09f38eda3867,,NA,52.3,NA,NA,NA,2022-05-19 admin raca#25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A3B2
bag25,21:55:00,18.2,water,18.3,d450b197-3752-4f8b-8026-3aca8cb36265,brandon hoenig,NA,rana catesbeiana,recapture,903d8341-b574-404e-8659-6a7323041bbe,,NA,52.9,NA,NA,NA,2022-05-19 admin raca#21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A1A2
bag26,22:03:00,18.4,water,18.5,0f46e8b4-5a64-4e70-8232-e9647f779f4b,brandon hoenig,NA,rana catesbeiana,recapture,f060d7d9-b62f-4ae9-8d65-cf524a94a307,,NA,47.8,NA,NA,NA,2022-05-19 admin racA#20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A4
bag13,22:21:00,17.9,emergent vegetation (higher than 1m),18.2,de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd,brandon hoenig,NA,rana pipiens,recapture,85800845-46bf-4672-970d-8c960dd9777c,,NA,79.1,NA,NA,NA,2022-05-19 admin rapi#28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A3
bag12,22:24:00,18.2,water,18.3,8d509db0-4b45-48d4-a664-943d4afed5ff,brandon hoenig,NA,rana catesbeiana,recapture,a0841d0b-1197-4fef-beaf-e14eb80f4fcd,,NA,47,NA,NA,NA,2022-05-19 admin raca#18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,A2A3
bag28,21:34:00,19.4,water,19.7,5e3d058b-9aed-4204-90c0-5f7571358273,brandon hoenig,NA,rana catesbeiana,recapture,357f2934-a97e-420d-9340-df83654030c3,,NA,55.6,NA,NA,NA,2022-05-19 admin raca#22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,admin pond,2022-05-19T00:00:00Z,B2
bag10,21:55:00,18.5,water,NA,3f5f918e-aeca-452f-9e37-e3c54df50afb,brandon hoenig,NA,rana catesbeiana,recapture,12998a52-91b8-4c54-8d8d-d60450f528de,adult,female,119.5,200,0,200,BdSwab000067,NA,NA,BacSwab00067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,rv pond,2022-06-08T00:00:00Z,A2
bag34,22:16:00,24.5,emergent vegetation (lower than 1m),24.6,e1535ace-ca03-4de2-aacd-3231898042ab,emily jolly,NA,rana catesbeiana,recapture,6ac597e0-3a45-417f-94fc-2c1056567207,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A3B3
bag32,22:27:00,24.4,water,24.4,7feefb4c-4218-4f2e-b79f-b072db8967e7,emily jolly,NA,rana catesbeiana,recapture,e41751ce-c321-414a-88b7-5ba53ec17474,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A2B3
bag27,22:28:00,25.1,water,24.4,b0a6c0c0-ed7b-46ab-a3cc-2757d057eda8,emily jolly,NA,rana catesbeiana,recapture,1f50ba3d-7b4a-4ab3-9460-b2594c1705b7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A2
bag40,23:17:00,26.7,tree/log/bush (lower than 1m),25.8,9f7790a2-0d80-42f6-b2b3-67711d8fbfd0,emily jolly,NA,rana catesbeiana,recapture,19941e3c-38ef-423c-8214-8c92c8ca7310,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A2A3
bag01,22:00:00,27.3,tree/log/bush (lower than 1m),27.8,cc6551ce-fc87-4ee3-b465-ff6c9a9c151d,emily jolly,NA,rana catesbeiana,recapture,dcb1e4ad-0ab1-479a-8a3c-e0b5252e834e,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,B3
bag15,22:47:00,27.1,water,27.2,94c9b085-9188-4cb0-9159-401bad44c67d,emily jolly,NA,rana catesbeiana,recapture,bf848a34-2be6-4ae6-933b-9970d040119d,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A3B4
bag24,22:50:00,27.2,water,27.2,3045a50a-eeae-41bd-9ebc-8f2af1346d95,emily jolly,NA,rana catesbeiana,recapture,46fa1fbc-d543-4de6-b918-875fc187e785,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A2B2
bag20,22:55:00,26.7,wet ground,26.8,2b47e9f9-3044-40d7-8e00-64db82379615,emily jolly,NA,rana catesbeiana,recapture,48e11475-5f4e-47ee-9b31-cca48bd2ceff,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,B3
bag07,22:23:00,25.9,water,25.6,b52a5725-281c-4734-ab70-87a54e2139bd,emily jolly,NA,rana catesbeiana,recapture,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,NA
bag07,22:23:00,25.9,water,25.6,b52a5725-281c-4734-ab70-87a54e2139bd,emily jolly,NA,rana catesbeiana,recapture,c4905edc-42ee-4512-a1f9-e8a8a4e80096,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,tuttle pond,2022-06-15T00:00:00Z,A4
bag86,21:45:00,16.3,wet ground,18.8,16b60957-a1a4-4ac3-9f52-50554ef663e3,brandon hoenig,NA,rana catesbeiana,recapture,3a0baaed-dbd1-4dda-b282-ed56bf966353,,NA,104.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,vorisek pond,2022-06-28T00:00:00Z,A3A4
bag89,22:08:00,22.4,water,24,d06fe1ce-32d3-4d8a-8a3f-0e2808f3974d,brandon hoenig,NA,rana catesbeiana,recapture,64caee74-7cfe-4a9c-bcf4-7423ff7aa7c8,,NA,98.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,vorisek pond,2022-06-28T00:00:00Z,B4
bag82,22:27:00,NA,dry ground,NA,5b240020-22f1-4948-9e54-35210089f1de,brandon hoenig,NA,rana catesbeiana,recapture,ef13ec41-354e-426d-b92d-fa147b028386,adult,female,64.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,vorisek pond,2022-06-28T00:00:00Z,B3
bag22,23:05:00,17.4,dry ground,18.4,3a1b7791-0a93-4efa-8363-3526bec878cb,brandon hoenig,NA,rana catesbeiana,recapture,d6f84bfe-1f52-4a9e-943f-e83a897cc88a,,NA,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,pa,usa,capture,vorisek pond,2022-06-28T00:00:00Z,A2A3A4
