date,site,species_ves,count,comments_ves,survey_time,detection_type
2022-05-26T00:00:00Z,wood lab pond,rana catesbeiana,1,NA,night,visual
2022-05-26T00:00:00Z,wood lab pond,rana clamitans,1,NA,night,visual
2022-05-26T00:00:00Z,wood lab pond,rana catesbeiana,2,NA,night,visual
2022-05-26T00:00:00Z,wood lab pond,rana catesbeiana,1,NA,night,visual
2022-05-26T00:00:00Z,wood lab pond,rana clamitans,1,NA,night,visual
2022-05-27T00:00:00Z,wood lab pond,rana catesbeiana,1,NA,night,visual
2022-05-27T00:00:00Z,wood lab pond,rana clamitans,1,NA,night,visual
2022-05-27T00:00:00Z,wood lab pond,rana clamitans,1,NA,night,visual
2022-05-27T00:00:00Z,wood lab pond,rana catesbeiana,1,NA,night,visual
2022-05-26T00:00:00Z,wood lab pond,rana clamitans,1,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana catesbeiana,1,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana catesbeiana,5,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana clamitans,1,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana catesbeiana,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana clamitans,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana catesbeiana,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana pipiens,1,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana catesbeiana,1,NA,night,visual
2022-06-03T00:00:00Z,phelps pond,rana clamitans,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana catesbeiana,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana clamitans,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana pipiens,1,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana catesbeiana,4,NA,night,visual
2022-06-14T00:00:00Z,tuttle pond,rana clamitans,3,NA,night,visual
2022-06-15T00:00:00Z,tuttle pond,rana catesbeiana,1,NA,night,visual
2022-06-15T00:00:00Z,tuttle pond,rana clamitans,1,NA,night,visual
2022-06-15T00:00:00Z,tuttle pond,rana clamitans,2,NA,night,visual
2022-06-15T00:00:00Z,tuttle pond,rana clamitans,3,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana catesbeiana,1,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,2,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,1,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana catesbeiana,2,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,2,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana catesbeiana,1,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,1,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,1,unsure of the accuracy of this survey,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,2,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana clamitans,1,NA,night,visual
2022-06-27T00:00:00Z,vorisek pond,rana catesbeiana,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,4,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,2,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,2,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,3,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,3,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,4,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,5,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,2,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,2,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,5,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,3,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,4,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,3,easily over 200 frogs in total.,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,7,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,3,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,1,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,3,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,9,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,20,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,10,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,6,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,5,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,10,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,2,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,4,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,5,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana catesbeiana,6,NA,night,visual
2022-07-11T00:00:00Z,rv pond,rana clamitans,8,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,1,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,1,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,3,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,6,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,3,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,2,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,4,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,2,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,5,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,7,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,2,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,1,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,3,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,1,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana clamitans,8,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,8,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,5,NA,night,visual
2022-07-18T00:00:00Z,tuttle pond,rana catesbeiana,12,NA,night,visual
